episode,timestep,reward,cumulative_reward
1,1854,-10,304.5298923048923
2,3550,-10,293.5158246178162
3,5349,-10,325.00510845286857
4,7203,-10,308.98127311957256
5,9063,-10,321.1569361690571
5,2386,-10,30.5185499444679
